Name,Día,Link,Star Rating,Tags,Total Time
Lubina,Jueves,,,,
Espaguetti carbonara,Viernes,,,,
Cocido N,Miercoles,,,,
Menestra de verduras con carne,,,,Nidia,
Albondigas en salsa española,,,,Nidia,
Sushi en bowl,,https://www.pickuplimes.com/single-post/2017/10/25/Deconstructed-Sushi-Bowl-with-Sweet-Sesame-Dressing,,,
Falafel,,https://www.pickuplimes.com/single-post/2020/05/10/Baked-Green-Pea-Chickpea-Falafels,★★★,Nidia,35
Crema de calabacín,,,,"Dinner, Easy, Light, Nidia",
Huevos al plato,,https://www.directoalpaladar.com/recetas-de-huevos-y-tortillas/huevos-al-plato-al-estilo-vasco-frances-receta,★★★,Nidia,
,,,,,
Tortilla de patatas,Miercoles,https://www.youtube.com/watch?v=fCe7IcBwNLI,,,
Arroz con conejo,,,,,
Fidegua gipsy,Jueves,https://www.youtube.com/watch?v=Hx3BLyEeU8M,,,
"Berenjenas con chermoula  ",,,,,
Sandwich mixto,,,,,
Osobuco  a la milanesa,,https://www.directoalpaladar.com/recetas-de-carnes-y-aves/ossobuco-a-la-milanesa-receta-tradicional,,,
Pechuga pollo baja temperatura,,https://www.youtube.com/watch?v=cXeYj0EBb24,,,
Lasaña,,,,Nidia,
Salmón al horno con brocoli,,,,,
Crema zanahorias,,https://www.youtube.com/watch?v=ttZsEPL0M8c,,,
Guisantes Lagrima,,,,Nidia,
Crema de calabaza,,https://danzadefogones.com/sopa-de-calabaza/,,Nidia,
Pastela vegetariana Gipsy,,https://www.youtube.com/watch?v=HkO3HIQN7S0&list=PLj8zUbX92rKgfnsSp4kIv6dd37_QUxM6o&index=5,,,
Costillas a la riojana,,,★★★★,Nidia,
pizza,Viernes,,,,
Muslos de pavo a la catalana,,,,,
Pisto (Shakshuka),Sábado,,★★★★,Nidia,
Aguachile de salmón,,https://www.youtube.com/watch?v=BypPwM2yrmU,,Easy,
Ensalada thai de ternera,,https://www.directoalpaladar.com/recetas-de-ensaladas/ensalada-tailandesa-de-ternera-receta-de-inspiracion-thai,,,
Crema de calabaza,Lunes,,,,
Migas,Martes,,,,
Ceviche,,https://www.simplyrecipes.com/recipes/ceviche/ (TBD),★★★★★,,
Arroz mexicano,,,,,
Judías verdes rehogadas,,,★★★,Nidia,
Cocido madrileño,,,,"Lunch, Nidia, contundente",
Paella de sepia y gambas,,,★★★★,,
Arroz al horno,,https://www.youtube.com/watch?v=UshncBcPeFI,,,
Tian de verduras,,https://www.directoalpaladar.com/recetas-de-legumbres-y-verduras/tian-de-verduras-receta-sana-y-facil-para-sorprender-con-video-incluido,,Nidia,
Wok de ternera y verduras,,http://www.demoslavueltaaldia.com/receta/wok-de-ternera-con-setas-y-verduras,,,
Cochinita pibil,,,★★★★★,,
Carrilleras de ternera con vino tinto,,https://www.directoalpaladar.com/recetas-de-carnes-y-aves/carrilleras-ternera-guisadas-vino-tinto-receta-tradicional,,"Lunch, Nidia",
Pescado al horno,,https://www.youtube.com/watch?v=G8rVBEEXbSU,★★★★,,
No se cocina,Martes,,,,
Lentejas guisadas,,,★★★,Nidia,
Pollo al mole,,,,,
Romanescu,,,,Nidia,
Ternera a la jardinera,,,★,Nidia,
Cinta de lomo con brocoli,,,,,
Tiradito de bacalao,,https://www.youtube.com/watch?v=UZlyX-gi0WI&t=2s,,Easy,
Magret pekinesa,,https://www.pinterest.es/pin/822751425703194896/feedback/?invite_code=ae612198feca4cfe8d972c1df7ed08cc&sender_id=340162715513282285,★★★★★,eventos,30
Salteado de salmon,,https://www.youtube.com/watch?v=REr2N-Uhd-o,,Easy,
Tacos gipsy,,https://www.youtube.com/watch?v=zkwJ_NmamMw,,,
Quesadillas de sobrasada,,https://www.directoalpaladar.com/recetas-de-aperitivos/quesadillas-de-sobrasada-y-queso-havarti-receta-de-aperitivo,,,
Arroz con bacalao,,https://www.youtube.com/watch?v=K99YO0bjEVI,,,
Alitas de pollo,,,,,
Curry de berenjena,,https://www.pickuplimes.com/single-post/2020/03/30/Eggplant-Lentil-Apricot-Curry,,,
Vichisoisse,,,,,
Coliflor gratinada,,https://www.recetasdeescandalo.com/coliflor-con-bechamel-gratinada-al-horno/,★★★,Nidia,
Dorada a la marsellesa,,https://www.directoalpaladar.com/recetas-de-pescados-y-mariscos/dorada-a-la-marsellesa-receta,,,
Verduras estofadas,,https://www.directoalpaladar.com/recetas-de-legumbres-y-verduras/verduras-estofadas-grasas-receta-dieta-sencilla-para-cena-comida-ligera,,,
Sopa Juliana,,https://www.directoalpaladar.com/recetas-de-sopas-y-cremas/receta-de-sopa-juliana,,Nidia,
Onigirazu Sandwich de sushi,,https://bake-street.com/onigirazu-sandwich-de-onigiri/,,,
Espinacas a la crema,,https://www.recetasdeescandalo.com/espinacas-la-crema-gratinadas-una-receta-facil/,,"Dinner, Light, Nidia",
Curry de patatas y guisantes,,https://www.pickuplimes.com/single-post/2020/03/30/Potato-Green-Pea-Curry,,,35 mins
Wrap de lechuga con noddles,,https://www.pickuplimes.com/single-post/2020/03/02/High-Protein-Lettuce-Wraps-with-Creamy-Peanut-Sauce,,,
Berenjenas rellenas,,,★★★★★,Nidia,
Fajitas de pollo,,https://www.tasteofhome.com/recipes/flavorful-chicken-fajitas/,★★★,"Dinner, Lunch",
Ramen,,https://www.recetasdeescandalo.com/receta-de-ramen-casero-una-sopa-japonesa-deliciosa-y-reconfortante/,,,A lot
Sopa Miso,,https://www.pickuplimes.com/single-post/2019/04/12/Glorified-Miso-Soup-Ramen-To-Go,,,
Vegan butter chiken,,https://www.pickuplimes.com/single-post/2020/03/30/Vegan-Butter-Chicken-with-Baked-Tofu,,,
tzatziki,,https://www.pickuplimes.com/single-post/2020/05/10/Vegan-Tzatziki,,,
Acelgas rehogadas,,,★★,Nidia,
Arroz al caldero,,,,,
Contramuslos de pollo guisados,,,,,
Tabulé,,,,,
Berenjenas con queso,,,,,
Bacalao con tomate,,,★★★★★,"Dinner, Lunch",
Pollo agridulce gipsy,,https://www.youtube.com/watch?v=jkw9Mrl5hRI&t=1s,,,
Lasaña verduras,,,,Nidia,
Tajín de verduras y cordero,,https://www.directoalpaladar.com/recetas-de-legumbres-y-verduras/tajine-de-verduras-al-ras-el-hanout-con-cuscus-receta-rapida,,"Dinner, Light, Lunch",
Albondigas gipsy,,https://www.youtube.com/watch?v=lcFoC8E2f4c,,Easy,
Garbanzos con sobrasada,Lunes,https://www.youtube.com/watch?v=t44_RGJ9kOQ,,,
Ensalada thai,,https://www.directoalpaladar.com/recetas-de-ensaladas/esta-ensalada-tailandesa-se-hace-diez-minutos-esta-muerte,,,
Revuelto de espinacas y atún,,https://www.youtube.com/watch?v=3-9N2Z8lVqc&list=PLj8zUbX92rKgfnsSp4kIv6dd37_QUxM6o&index=1,,Dinner,